name,global_probability,total_count,kind,field_type,comments
_id,1.0,6076,field,ObjectId,
acrostiState,0.1673798551678736,1017,field,String,
acrostic,0.17264647794601712,1049,field,String,
acrosticInfo,0.0019749835418038184,12,field,Object,
acrosticInfo.dateInfo,3.291639236339697E-4,2,field,String,
acrosticInfo.locationInfo,3.291639236339697E-4,2,field,String,
acrosticInfo.name,0.0016458196181698488,10,field,String,
author,3.291639236339697E-4,2,field,Object,
author.forename,3.291639236339697E-4,2,field,String,
author.surname,3.291639236339697E-4,2,field,String,
authorDoc,0.022053982883475973,134,field,String,
collection,0.004443712969058591,27,field,String,
colophonInfo,0.00510204081632653,31,field,Object,
colophonInfo.authorInfo,0.0014812376563528636,9,field,String,
colophonInfo.dateInfo,0.004279131007241606,26,field,String,
colophonInfo.locationInfo,0.0023041474654377876,14,field,String,
colophonState,0.012179065174456879,74,field,String,
comments,0.11701777485187624,711,field,String,
datePrecision,1.6458196181698485E-4,1,field,String,
dedicatee,0.0013166556945358788,8,field,String,
docBibNum,0.1206385780118499,733,field,String,
docDate,0.1206385780118499,733,field,String,
docDenomination,0.11652402896642527,708,field,String,
docGenre,0.06484529295589203,394,field,String,
docLocation,0.02057274522712311,125,field,String,
docNewTitle,0.0576036866359447,350,field,String,
docOriginalTitle,0.10780118499012509,655,field,String,
docShelfmark,0.0054312047399605,33,field,String,
docType,0.1206385780118499,733,field,String,
docVolShelfmark,0.012508229098090849,76,field,String,
facsimileEd,0.00510204081632653,31,field,Array,
id,1.0,6076,field,String,
incipit,0.10023041474654378,609,field,String,
integrity,0.27468729427254773,1669,field,String,
length,0.29822251481237655,1812,field,String,
lengthUnit,0.29871626069782753,1815,field,String,
library,0.02106649111257406,128,field,String,
metreScheme,0.025839368005266622,157,field,"[Array,String]",
printerName,0.06616194865042792,402,field,String,
printingLocation,0.07702435813034891,468,field,String,
recordType,0.9980250164581962,6064,field,String,
refrain,0.013495720868992759,82,field,String,
rhymeScheme,0.025674786043449638,156,field,String,
source,0.8790322580645161,5341,field,Object,
source.bookId,0.8790322580645161,5341,field,String,
source.docBibNum,0.8790322580645161,5341,field,String,
source.docType,0.8790322580645161,5341,field,String,
source.itemId,0.8790322580645161,5341,field,String,
source.itemMainId,0.8790322580645161,5341,field,String,
source.itemSubId,0.8790322580645161,5341,field,String,
source.itemSubNote,0.8790322580645161,5341,field,String,
source.page,0.8790322580645161,5341,field,String,
source.pageSubId,0.8790322580645161,5341,field,String,
source.pageSubNote,0.8790322580645161,5341,field,String,
source.sourceTypeCode,0.8790322580645161,5341,field,String,
source.type,0.8790322580645161,5341,field,String,
source.value,0.8790322580645161,5341,field,String,
syllNum,0.025016458196181698,152,field,String,
title,0.4846938775510204,2945,field,String,
translator,0.02057274522712311,125,field,String,
v166,0.06879526003949966,418,field,String,
v167,0.09381171823568137,570,field,String,
v200,0.8793614219881501,5343,field,Object,
v200.value,0.8793614219881501,5343,field,String,
v201,0.8793614219881501,5343,field,Object,
v201.value,0.8793614219881501,5343,field,String,
v56,0.554641211323239,3370,field,Object,
v56.sa,0.1948650427913101,1184,field,String,
v56.sb,0.019420671494404212,118,field,String,
v56.sc,0.03489137590520079,212,field,String,
v56.sd,0.07587228439763001,461,field,String,
v56.se,0.0455892034233048,277,field,String,
v56.sf,0.047399605003291635,288,field,String,
v56.sg,0.2539499670836076,1543,field,String,
v56.sh,0.08410138248847926,511,field,String,
v56.si,0.018926925608953257,115,field,String,
v56.sj,0.04509545753785386,274,field,String,
v56.sk,0.065174456879526,396,field,String,
v56.value,0.554641211323239,3370,field,String,
v61,0.05118499012508229,311,field,"[Array,Object]",
v61.s1,0.029624753127057275,180,field,String,
v61.s2,0.025181040157998685,153,field,String,
v61.s3,1.6458196181698488E-4,1,field,String,
volName,0.011356155365371955,69,field,String,
