name,global_probability,total_count,kind,field_type,comments
_id,1,1872,field,ObjectId,
acrostic,"0,2521367521",472,field,String,
acrosticInfo,"0,1282051282",240,field,Array,
acrosticState,"0,8125",1521,field,String,
author,"0,5331196581",998,field,Array,
authorInfluence,"0,1036324786",194,field,Array,
colophonInfo,"0,1362179487",255,field,Array,
colophonState,"0,8125",1521,field,String,
comments,"0,1688034188",316,field,Array,
date,"0,8125",1521,field,Array,
datePrecision,"0,8125",1521,field,String,
dedicatee,"0,0683760684",128,field,Array,
denomination,"0,7932692308",1485,field,Object,
denomination.catholic,"0,2083333333",390,field,String,
denomination.evangelical,"0,3071581197",575,field,String,
denomination.muslim,"0,0048076923",9,field,String,
denomination.protestant,"0,2948717949",552,field,String,
denomination.reformed,"0,2211538462",414,field,String,
denomination.sabbatarian,"0,1111111111",208,field,String,
denomination.secular,"0,3557692308",666,field,String,
denomination.unitarian,"0,1971153846",369,field,String,
denomination.without,"0,0058760684",11,field,String,
echo,"0,0021367521",4,field,String,
facsimileEd,"0,0101495726",19,field,Array,
genre,"0,8125",1521,field,Array,
hymnId,"0,0641025641",120,field,Array,
id,1,1872,field,String,
incipit,"0,9866452991",1847,field,String,
integrity,"0,8141025641",1524,field,String,
length,"0,8194444444",1534,field,Array,
lengthUnit,"0,8199786325",1535,field,String,
melodyEd,"0,500534188",937,field,Array,
metreSchema,"0,7441239316",1393,field,Array,
metreType,"0,8092948718",1515,field,String,
modernEd,"0,577457265",1081,field,Array,
originalIncipit,"0,2067307692",387,field,Array,
originalLanguage,"0,0106837607",20,field,String,
originalTitle,"0,3322649573",622,field,Array,
partialRel,"0,0122863248",23,field,Array,
printedSources,"0,5544871795",1038,field,Array,
recordRel,"0,0138888889",26,field,Array,
recordType,1,1872,field,String,
refrain,"0,0384615385",72,field,Array,
rhymeScheme,"0,7441239316",1393,field,String,
sharedMelodyBases,"0,1821581197",341,field,Array,
sharedMelodyTargets,"0,4375",819,field,Array,
signature,"0,8125",1521,field,String,
song,"0,8125",1521,field,String,
source,"0,7932692308",1485,field,Array,
sourceRel,"0,0913461538",171,field,Array,
syllNum,"0,735042735",1376,field,String,
title,"0,8173076923",1530,field,Array,
tradition,"0,8125",1521,field,String,
v25,"0,7318376068",1370,field,Object,
v25.value,"0,7318376068",1370,field,String,
v26,"0,7889957265",1477,field,"[Array,Object]",
v26.value,"0,6875",1287,field,String,
v27,"0,000534188",1,field,Object,
v27.value,"0,000534188",1,field,String,
v49,"0,000534188",1,field,Object,
v49.value,"0,000534188",1,field,String,
v6,"0,0010683761",2,field,Array,
writtenSources,"0,5405982906",1012,field,Array,
